date,trend_name,google_score,category
2020-12-27,Airy Styles,0,Womenswear
2021-01-03,Airy Styles,0,Womenswear
2021-01-10,Airy Styles,0,Womenswear
2021-01-17,Airy Styles,0,Womenswear
2021-01-24,Airy Styles,0,Womenswear
2021-01-31,Airy Styles,0,Womenswear
2021-02-07,Airy Styles,0,Womenswear
2021-02-14,Airy Styles,0,Womenswear
2021-02-21,Airy Styles,0,Womenswear
2021-02-28,Airy Styles,0,Womenswear
2021-03-07,Airy Styles,0,Womenswear
2021-03-14,Airy Styles,0,Womenswear
2021-03-21,Airy Styles,0,Womenswear
2021-03-28,Airy Styles,0,Womenswear
2021-04-04,Airy Styles,0,Womenswear
2021-04-11,Airy Styles,0,Womenswear
2021-04-18,Airy Styles,0,Womenswear
2021-04-25,Airy Styles,0,Womenswear
2021-05-02,Airy Styles,0,Womenswear
2021-05-09,Airy Styles,0,Womenswear
2021-05-16,Airy Styles,0,Womenswear
2021-05-23,Airy Styles,0,Womenswear
2021-05-30,Airy Styles,0,Womenswear
2021-06-06,Airy Styles,0,Womenswear
2021-06-13,Airy Styles,0,Womenswear
2021-06-20,Airy Styles,0,Womenswear
2021-06-27,Airy Styles,0,Womenswear
2021-07-04,Airy Styles,0,Womenswear
2021-07-11,Airy Styles,0,Womenswear
2021-07-18,Airy Styles,0,Womenswear
2021-07-25,Airy Styles,0,Womenswear
2021-08-01,Airy Styles,0,Womenswear
2021-08-08,Airy Styles,0,Womenswear
2021-08-15,Airy Styles,0,Womenswear
2021-08-22,Airy Styles,0,Womenswear
2021-08-29,Airy Styles,0,Womenswear
2021-09-05,Airy Styles,0,Womenswear
2021-09-12,Airy Styles,0,Womenswear
2021-09-19,Airy Styles,0,Womenswear
2021-09-26,Airy Styles,0,Womenswear
2021-10-03,Airy Styles,0,Womenswear
2021-10-10,Airy Styles,0,Womenswear
2021-10-17,Airy Styles,0,Womenswear
2021-10-24,Airy Styles,0,Womenswear
2021-10-31,Airy Styles,0,Womenswear
2021-11-07,Airy Styles,0,Womenswear
2021-11-14,Airy Styles,0,Womenswear
2021-11-21,Airy Styles,0,Womenswear
2021-11-28,Airy Styles,0,Womenswear
2021-12-05,Airy Styles,0,Womenswear
2021-12-12,Airy Styles,0,Womenswear
2021-12-19,Airy Styles,0,Womenswear
2021-12-26,Airy Styles,0,Womenswear
2022-01-02,Airy Styles,0,Womenswear
2022-01-09,Airy Styles,0,Womenswear
2022-01-16,Airy Styles,0,Womenswear
2022-01-23,Airy Styles,0,Womenswear
2022-01-30,Airy Styles,0,Womenswear
2022-02-06,Airy Styles,0,Womenswear
2022-02-13,Airy Styles,0,Womenswear
2022-02-20,Airy Styles,0,Womenswear
2022-02-27,Airy Styles,0,Womenswear
2022-03-06,Airy Styles,0,Womenswear
2022-03-13,Airy Styles,0,Womenswear
2022-03-20,Airy Styles,0,Womenswear
2022-03-27,Airy Styles,0,Womenswear
2022-04-03,Airy Styles,0,Womenswear
2022-04-10,Airy Styles,0,Womenswear
2022-04-17,Airy Styles,0,Womenswear
2022-04-24,Airy Styles,0,Womenswear
2022-05-01,Airy Styles,0,Womenswear
2022-05-08,Airy Styles,0,Womenswear
2022-05-15,Airy Styles,0,Womenswear
2022-05-22,Airy Styles,0,Womenswear
2022-05-29,Airy Styles,0,Womenswear
2022-06-05,Airy Styles,0,Womenswear
2022-06-12,Airy Styles,0,Womenswear
2022-06-19,Airy Styles,0,Womenswear
2022-06-26,Airy Styles,0,Womenswear
2022-07-03,Airy Styles,0,Womenswear
2022-07-10,Airy Styles,0,Womenswear
2022-07-17,Airy Styles,0,Womenswear
2022-07-24,Airy Styles,0,Womenswear
2022-07-31,Airy Styles,0,Womenswear
2022-08-07,Airy Styles,99,Womenswear
2022-08-14,Airy Styles,0,Womenswear
2022-08-21,Airy Styles,0,Womenswear
2022-08-28,Airy Styles,0,Womenswear
2022-09-04,Airy Styles,0,Womenswear
2022-09-11,Airy Styles,0,Womenswear
2022-09-18,Airy Styles,0,Womenswear
2022-09-25,Airy Styles,0,Womenswear
2022-10-02,Airy Styles,0,Womenswear
2022-10-09,Airy Styles,0,Womenswear
2022-10-16,Airy Styles,0,Womenswear
2022-10-23,Airy Styles,0,Womenswear
2022-10-30,Airy Styles,0,Womenswear
2022-11-06,Airy Styles,0,Womenswear
2022-11-13,Airy Styles,0,Womenswear
2022-11-20,Airy Styles,0,Womenswear
2022-11-27,Airy Styles,0,Womenswear
2022-12-04,Airy Styles,0,Womenswear
2022-12-11,Airy Styles,70,Womenswear
2022-12-18,Airy Styles,0,Womenswear
2022-12-25,Airy Styles,0,Womenswear
2023-01-01,Airy Styles,0,Womenswear
2023-01-08,Airy Styles,0,Womenswear
2023-01-15,Airy Styles,0,Womenswear
2023-01-22,Airy Styles,0,Womenswear
2023-01-29,Airy Styles,0,Womenswear
2023-02-05,Airy Styles,0,Womenswear
2023-02-12,Airy Styles,0,Womenswear
2023-02-19,Airy Styles,0,Womenswear
